source,browser,sex,age,country_name,n_device_occur,signup_month,signup_day,signup_day_name,purchase_month,purchase_day,purchase_day_name,purchase_over_time,class
Ads,IE,M,45,United States,1,1,30,Friday,2,6,Friday,45000.0,0
Ads,Safari,M,47,United States,1,1,2,Friday,4,20,Monday,3111.1111111111113,0
Direct,IE,M,23,Unknown Country,1,4,24,Friday,7,18,Saturday,1714.2857142857142,0
Ads,Chrome,F,19,United States,2,7,24,Friday,11,18,Wednesday,3222.222222222222,0
Ads,Chrome,F,26,Iran (ISLAMIC Republic Of),1,4,17,Friday,5,3,Sunday,44000.0,1
SEO,Safari,F,39,Korea Republic of,1,5,13,Wednesday,5,18,Monday,inf,0
SEO,Chrome,F,36,United States,1,4,6,Monday,5,7,Thursday,23500.0,0
SEO,FireFox,M,20,Brazil,1,6,11,Thursday,8,30,Sunday,13500.0,0
Ads,Chrome,M,24,Unknown Country,1,5,24,Sunday,6,1,Monday,21000.0,0
SEO,Chrome,M,24,Unknown Country,1,3,18,Wednesday,7,11,Saturday,5888.888888888889,0
Ads,IE,F,35,United States,1,7,4,Saturday,7,26,Sunday,6500.0,0
Ads,IE,M,19,United States,1,6,2,Tuesday,8,23,Sunday,3333.3333333333335,0
SEO,Safari,M,34,United States,1,5,30,Saturday,9,3,Thursday,4750.0,0
SEO,Chrome,M,23,Unknown Country,1,2,16,Monday,4,5,Sunday,6500.0,0
Ads,Safari,F,60,France,1,3,24,Tuesday,4,6,Monday,41000.0,0
Ads,FireFox,F,46,Unknown Country,1,4,17,Friday,5,31,Sunday,18333.333333333332,0
SEO,Safari,M,24,Iran (ISLAMIC Republic Of),1,2,7,Saturday,3,2,Monday,39000.0,0
Ads,Chrome,M,36,Japan,1,7,3,Friday,8,7,Friday,7333.333333333333,0
Ads,Safari,F,27,Unknown Country,1,5,9,Saturday,6,10,Wednesday,11333.333333333334,0
SEO,FireFox,M,37,Japan,2,5,3,Sunday,7,18,Saturday,5333.333333333333,0
Direct,Safari,M,31,United States,1,5,24,Sunday,6,30,Tuesday,11666.666666666666,0
Ads,FireFox,M,27,United States,1,3,25,Wednesday,4,12,Sunday,23000.0,0
Ads,IE,F,22,United Kingdom,13,1,6,Tuesday,1,6,Tuesday,inf,1
SEO,Chrome,F,34,United States,1,3,9,Monday,4,1,Wednesday,34000.0,0
Ads,FireFox,M,21,Mexico,1,1,24,Saturday,4,2,Thursday,8600.0,0
SEO,FireFox,F,26,United States,1,7,24,Friday,9,6,Sunday,27333.333333333332,0
Direct,Safari,M,32,Japan,1,2,23,Monday,4,17,Friday,12750.0,0
SEO,Chrome,M,31,United States,1,7,23,Thursday,8,11,Tuesday,82000.0,0
Direct,FireFox,M,29,Unknown Country,1,6,20,Saturday,10,4,Sunday,1875.0,0
SEO,FireFox,M,39,South Africa,1,5,29,Friday,6,15,Monday,43000.0,0
Ads,Safari,F,26,United States,1,6,15,Monday,8,15,Saturday,2200.0,0
Direct,IE,F,41,Korea Republic of,1,7,8,Wednesday,9,14,Monday,11800.0,0
Direct,Chrome,F,22,Unknown Country,1,7,11,Saturday,10,1,Thursday,5333.333333333333,0
SEO,IE,F,38,Russian Federation,1,3,22,Sunday,5,23,Saturday,7400.0,0
SEO,Chrome,M,28,Spain,1,2,11,Wednesday,3,22,Sunday,3333.3333333333335,0
Ads,Safari,F,33,United States,1,5,21,Thursday,8,31,Monday,3750.0,0
Direct,FireFox,M,56,United States,1,5,20,Wednesday,7,27,Monday,7000.0,0
SEO,Chrome,M,39,Gabon,1,7,9,Thursday,10,20,Tuesday,8750.0,0
Ads,FireFox,F,19,Brazil,1,7,7,Tuesday,7,12,Sunday,inf,0
Ads,Chrome,M,39,Korea Republic of,1,4,18,Saturday,6,1,Monday,6333.333333333333,0
Direct,Chrome,F,31,United States,1,7,11,Saturday,10,28,Wednesday,2111.1111111111113,0
SEO,IE,M,36,Saudi Arabia,1,7,22,Wednesday,8,4,Tuesday,38000.0,0
Ads,Chrome,F,35,Unknown Country,1,8,13,Thursday,11,15,Sunday,12285.714285714286,0
SEO,Chrome,M,41,Taiwan; Republic of China (ROC),2,3,26,Thursday,5,8,Friday,15000.0,1
SEO,Chrome,M,31,United States,1,7,30,Thursday,10,12,Monday,4333.333333333333,1
SEO,IE,M,33,Hong Kong,17,1,5,Monday,1,5,Monday,inf,1
SEO,FireFox,M,23,Georgia,1,4,7,Tuesday,7,31,Friday,3444.4444444444443,0
Ads,Chrome,M,41,United States,1,8,13,Thursday,9,16,Wednesday,12000.0,0
SEO,IE,F,52,Unknown Country,1,1,30,Friday,2,10,Tuesday,43000.0,0
Direct,Chrome,M,42,United States,1,1,20,Tuesday,5,18,Monday,6333.333333333333,0
Ads,Chrome,M,25,Syrian Arab Republic,1,6,21,Sunday,9,7,Monday,13333.333333333334,0
Ads,Chrome,F,35,Denmark,2,2,16,Monday,2,24,Tuesday,69000.0,0
SEO,Safari,M,27,Canada,14,1,10,Saturday,1,10,Saturday,inf,1
SEO,Chrome,F,33,Netherlands,1,4,19,Sunday,6,6,Saturday,12750.0,0
Ads,Safari,M,35,Korea Republic of,1,3,19,Thursday,7,7,Tuesday,1666.6666666666667,0
Ads,Chrome,M,49,United States,1,5,21,Thursday,9,7,Monday,4111.111111111111,0
Ads,FireFox,M,33,France,1,7,7,Tuesday,7,24,Friday,23000.0,0
Ads,Chrome,F,28,Korea Republic of,1,1,8,Thursday,3,23,Monday,1833.3333333333333,0
Ads,IE,M,20,Turkey,1,3,1,Sunday,4,18,Saturday,13500.0,0
Ads,Chrome,F,18,United States,1,7,21,Tuesday,11,11,Wednesday,4000.0,0
Ads,IE,M,28,United States,1,2,22,Sunday,5,7,Thursday,3000.0,0
Ads,IE,F,33,United States,1,3,23,Monday,7,16,Thursday,4333.333333333333,0
Ads,Chrome,M,33,Japan,1,7,1,Wednesday,10,20,Tuesday,6666.666666666667,0
Direct,IE,M,45,New Zealand,1,7,18,Saturday,11,10,Tuesday,2444.4444444444443,0
Ads,IE,F,23,China,1,1,20,Tuesday,5,19,Tuesday,4888.888888888889,0
SEO,Chrome,M,23,Unknown Country,1,3,23,Monday,6,11,Thursday,3166.6666666666665,0
Ads,Chrome,F,18,United States,1,6,11,Thursday,6,16,Tuesday,inf,0
Ads,IE,F,36,China,1,4,9,Thursday,7,9,Thursday,3142.8571428571427,0
Direct,Chrome,M,33,China,1,8,6,Thursday,11,10,Tuesday,7750.0,0
SEO,FireFox,F,36,United States,1,8,5,Wednesday,12,1,Tuesday,2222.222222222222,0
Ads,Safari,M,25,Unknown Country,1,4,7,Tuesday,7,23,Thursday,2000.0,0
Direct,Safari,M,34,Unknown Country,9,1,6,Tuesday,1,6,Tuesday,inf,1
Ads,IE,F,34,Unknown Country,1,8,17,Monday,11,10,Tuesday,3000.0,0
Ads,Safari,M,29,Unknown Country,1,6,10,Wednesday,6,14,Sunday,inf,1
Ads,Chrome,M,23,United States,2,5,12,Tuesday,6,13,Saturday,5000.0,0
Ads,Chrome,F,31,Sweden,1,7,28,Tuesday,9,9,Wednesday,7000.0,0
SEO,Chrome,F,19,United States,1,5,16,Saturday,7,16,Thursday,3600.0,0
SEO,Chrome,F,44,United States,1,7,21,Tuesday,9,26,Saturday,11800.0,0
Direct,Safari,M,40,European Union,1,4,2,Thursday,6,17,Wednesday,5833.333333333333,0
Direct,Safari,M,20,Unknown Country,1,5,31,Sunday,9,12,Saturday,5625.0,0
SEO,Chrome,M,30,United States,1,8,4,Tuesday,8,8,Saturday,inf,0
Ads,Opera,M,39,Australia,1,5,15,Friday,8,10,Monday,9428.57142857143,0
SEO,FireFox,F,33,United States,1,1,26,Monday,4,4,Saturday,2400.0,0
Direct,Chrome,F,18,United States,1,3,5,Thursday,3,23,Monday,27000.0,0
Direct,IE,F,34,Japan,1,5,15,Friday,7,8,Wednesday,3250.0,0
SEO,Chrome,F,40,Ukraine,1,5,27,Wednesday,7,18,Saturday,2250.0,0
SEO,IE,M,30,France,10,1,7,Wednesday,1,7,Wednesday,inf,1
Direct,FireFox,F,50,Canada,1,1,31,Saturday,4,11,Saturday,2000.0,0
Ads,IE,M,25,United Kingdom,1,2,16,Monday,5,3,Sunday,6166.666666666667,0
SEO,Chrome,M,36,Unknown Country,1,4,25,Saturday,8,6,Thursday,2625.0,0
Ads,FireFox,M,41,China,1,5,19,Tuesday,5,29,Friday,39000.0,0
Ads,Safari,M,40,Austria,1,7,25,Saturday,8,23,Sunday,20000.0,0
Ads,Safari,F,25,United States,1,6,14,Sunday,7,6,Monday,5500.0,0
Direct,IE,F,32,China,1,5,25,Monday,6,18,Thursday,8000.0,0
Ads,Safari,F,44,China,1,8,11,Tuesday,12,4,Friday,3555.5555555555557,0
SEO,Safari,M,29,Unknown Country,1,3,10,Tuesday,4,25,Saturday,13000.0,0
Ads,IE,M,33,United Kingdom,1,4,24,Friday,7,27,Monday,4714.285714285715,0
Ads,Chrome,M,22,United States,1,6,17,Wednesday,6,23,Tuesday,inf,0
Direct,Chrome,M,28,United States,1,5,27,Wednesday,8,11,Tuesday,6000.0,0
Direct,Chrome,M,33,Hong Kong,1,6,20,Saturday,7,18,Saturday,34500.0,0
Ads,Safari,F,32,United States,2,1,16,Friday,4,29,Wednesday,8500.0,0
Ads,FireFox,M,39,Unknown Country,18,1,8,Thursday,1,8,Thursday,inf,1
Ads,Chrome,M,29,United States,1,6,5,Friday,6,13,Saturday,10000.0,0
Direct,IE,F,29,Korea Republic of,1,1,2,Friday,1,9,Friday,39000.0,0
SEO,Chrome,F,28,Unknown Country,16,1,7,Wednesday,1,7,Wednesday,inf,1
Ads,IE,M,52,United States,1,3,8,Sunday,4,30,Thursday,15250.0,0
SEO,Chrome,F,56,United States,1,3,6,Friday,4,7,Tuesday,18000.0,0
SEO,Chrome,M,36,United States,1,7,15,Wednesday,7,24,Friday,63000.0,0
Ads,Safari,F,47,China,1,8,12,Wednesday,10,3,Saturday,8500.0,0
SEO,IE,M,30,United Kingdom,1,4,22,Wednesday,6,16,Tuesday,10000.0,0
SEO,IE,F,26,United States,1,1,24,Saturday,5,4,Monday,5125.0,0
Direct,IE,F,22,France,1,5,29,Friday,8,9,Sunday,3666.6666666666665,0
SEO,IE,F,49,United States,1,2,15,Sunday,5,21,Thursday,1125.0,0
SEO,Chrome,M,25,Korea Republic of,1,5,14,Thursday,6,14,Sunday,13000.0,0
SEO,FireFox,M,25,United States,1,7,13,Monday,10,2,Friday,5166.666666666667,0
Ads,Chrome,M,26,China,1,2,20,Friday,2,27,Friday,24000.0,0
SEO,Safari,M,21,Israel,2,2,14,Saturday,4,15,Wednesday,12200.0,1
SEO,IE,F,32,China,1,3,8,Sunday,6,27,Saturday,5555.555555555556,1
SEO,Chrome,M,38,United States,11,1,4,Sunday,1,4,Sunday,inf,1
Ads,Chrome,F,26,Unknown Country,1,7,3,Friday,8,1,Saturday,11500.0,0
Direct,IE,M,36,Unknown Country,1,6,30,Tuesday,8,4,Tuesday,9000.0,0
Ads,Safari,M,41,United States,1,2,14,Saturday,3,21,Saturday,17333.333333333332,0
SEO,IE,F,33,United States,1,3,18,Wednesday,4,16,Thursday,12500.0,0
Ads,Chrome,F,27,United States,1,2,10,Tuesday,5,10,Sunday,5285.714285714285,0
SEO,Chrome,F,30,Malaysia,1,5,22,Friday,6,17,Wednesday,17000.0,1
Direct,IE,F,20,China,1,3,15,Sunday,7,12,Sunday,3333.3333333333335,0
SEO,IE,M,31,Brazil,1,3,8,Sunday,6,9,Tuesday,5285.714285714285,0
Ads,Safari,F,37,Russian Federation,1,2,22,Sunday,4,23,Thursday,11400.0,0
Ads,FireFox,F,45,United States,1,5,8,Friday,6,28,Sunday,13000.0,0
SEO,FireFox,F,36,United States,1,4,29,Wednesday,5,21,Thursday,24500.0,0
Ads,IE,M,29,Greece,15,1,8,Thursday,1,8,Thursday,inf,1
Ads,FireFox,F,36,Italy,2,4,3,Friday,7,21,Tuesday,4333.333333333333,0
SEO,Safari,F,38,Japan,1,3,8,Sunday,4,27,Monday,5750.0,0
Direct,Chrome,M,27,Japan,12,1,11,Sunday,1,11,Sunday,inf,1
Direct,Chrome,M,35,United States,1,5,26,Tuesday,6,7,Sunday,11000.0,0
Ads,IE,F,28,France,1,1,1,Thursday,1,20,Tuesday,14500.0,0
SEO,Chrome,F,48,Norway,2,2,26,Thursday,5,29,Friday,4142.857142857143,0
SEO,FireFox,F,43,Taiwan; Republic of China (ROC),2,2,18,Wednesday,4,9,Thursday,12750.0,0
SEO,IE,F,22,Unknown Country,1,7,24,Friday,8,31,Monday,15666.666666666666,0
Direct,FireFox,M,33,Norway,1,7,27,Monday,9,7,Monday,17000.0,0
Ads,IE,F,26,Canada,1,6,4,Thursday,7,25,Saturday,9500.0,0
Ads,FireFox,M,32,United Kingdom,1,5,1,Friday,8,7,Friday,3750.0,0
SEO,FireFox,F,36,United States,1,7,4,Saturday,9,14,Monday,10833.333333333334,0
SEO,Chrome,F,32,Germany,1,3,6,Friday,5,19,Tuesday,8333.333333333334,0
Ads,IE,F,26,Poland,1,3,24,Tuesday,5,15,Friday,8250.0,0
SEO,Chrome,F,37,Venezuela,1,6,25,Thursday,7,15,Wednesday,17000.0,0
Ads,Chrome,F,26,United States,14,1,4,Sunday,1,4,Sunday,inf,1
Ads,Chrome,F,25,United States,1,1,19,Monday,4,25,Saturday,3625.0,0
Ads,Chrome,F,35,European Union,1,1,25,Sunday,3,15,Sunday,6250.0,0
Ads,Safari,F,23,Thailand,1,3,15,Sunday,3,18,Wednesday,inf,0
SEO,IE,M,38,United States,1,7,23,Thursday,10,31,Saturday,5875.0,0
Ads,Safari,F,41,Chile,1,4,26,Sunday,6,15,Monday,6250.0,0
SEO,Chrome,M,58,Unknown Country,1,3,3,Tuesday,5,4,Monday,3200.0,0
SEO,IE,M,44,United States,1,2,2,Monday,5,9,Saturday,1250.0,0
Direct,Chrome,M,29,United States,1,7,27,Monday,10,24,Saturday,2428.5714285714284,0
Ads,Chrome,M,31,Unknown Country,1,1,21,Wednesday,2,9,Monday,31000.0,0
Direct,FireFox,M,18,Italy,6,1,3,Saturday,1,3,Saturday,inf,1
SEO,Safari,F,30,Austria,1,4,2,Thursday,7,28,Tuesday,2444.4444444444443,0
SEO,Chrome,M,35,United States,1,4,11,Saturday,4,24,Friday,49000.0,0
Direct,Chrome,M,41,China,1,4,24,Friday,8,17,Monday,7222.222222222223,0
Direct,IE,M,18,France,2,6,1,Monday,9,21,Monday,3777.777777777778,1
SEO,Chrome,F,24,Taiwan; Republic of China (ROC),1,2,26,Thursday,6,11,Thursday,2375.0,0
SEO,Chrome,M,37,Korea Republic of,1,3,16,Monday,6,19,Friday,3571.4285714285716,0
SEO,Chrome,F,36,United States,1,7,3,Friday,9,18,Friday,3833.3333333333335,0
Direct,Chrome,M,36,United States,1,6,14,Sunday,9,14,Monday,3428.5714285714284,0
SEO,Chrome,F,30,China,1,7,21,Tuesday,9,13,Sunday,13000.0,0
Ads,Chrome,M,41,United States,1,5,22,Friday,5,28,Thursday,inf,0
Ads,Safari,M,38,China,1,5,7,Thursday,7,26,Sunday,10500.0,0
Ads,Safari,F,30,Morocco,1,6,23,Tuesday,8,13,Thursday,6750.0,0
SEO,FireFox,M,19,United States,1,7,19,Sunday,11,8,Sunday,4555.555555555556,0
SEO,FireFox,M,24,United States,1,5,2,Saturday,5,18,Monday,29000.0,0
Ads,IE,F,34,Korea Republic of,1,6,11,Thursday,8,26,Wednesday,5666.666666666667,0
SEO,Safari,F,31,United States,1,3,14,Saturday,5,20,Wednesday,9000.0,0
Ads,FireFox,M,31,Unknown Country,1,3,6,Friday,4,7,Tuesday,19000.0,0
Ads,FireFox,M,27,China,1,4,12,Sunday,7,13,Monday,8428.57142857143,0
Ads,Safari,M,35,Finland,1,5,11,Monday,8,12,Wednesday,6714.285714285715,0
SEO,IE,M,48,Hungary,1,3,18,Wednesday,6,8,Monday,1666.6666666666667,0
Ads,IE,F,41,Unknown Country,1,7,13,Monday,10,24,Saturday,7500.0,0
SEO,Chrome,F,31,China,1,6,21,Sunday,8,7,Friday,15750.0,0
Ads,FireFox,M,35,United States,1,3,12,Thursday,3,18,Wednesday,inf,0
SEO,IE,F,38,Unknown Country,1,1,9,Friday,1,19,Monday,24000.0,0
Ads,Safari,M,27,Japan,1,1,24,Saturday,5,2,Saturday,6250.0,0
Ads,Chrome,M,22,United States,1,6,24,Wednesday,8,30,Sunday,3800.0,0
Direct,Chrome,M,31,United States,1,6,15,Monday,8,14,Friday,4000.0,0
SEO,IE,F,26,United States,1,1,27,Tuesday,4,12,Sunday,5333.333333333333,0
SEO,Chrome,F,47,United States,1,1,22,Thursday,4,8,Wednesday,8166.666666666667,0
Ads,Chrome,M,26,Germany,1,4,17,Friday,7,9,Thursday,4142.857142857143,0
Ads,Chrome,F,32,Brazil,1,7,1,Wednesday,10,7,Wednesday,8125.0,0
Ads,IE,F,33,Unknown Country,1,2,20,Friday,3,31,Tuesday,13000.0,0
SEO,IE,M,19,Korea Republic of,1,1,14,Wednesday,2,19,Thursday,15000.0,0
Ads,Chrome,M,34,United States,1,6,7,Sunday,10,5,Monday,2000.0,0
SEO,Chrome,M,35,Indonesia,1,3,10,Tuesday,3,28,Saturday,23000.0,0
Direct,Safari,F,31,Colombia,1,5,14,Thursday,6,25,Thursday,10666.666666666666,0
SEO,Chrome,M,22,United Kingdom,1,2,22,Sunday,3,5,Thursday,21000.0,0
SEO,IE,F,44,United States,1,2,4,Wednesday,2,6,Friday,inf,0
Direct,Safari,M,24,United States,1,4,22,Wednesday,6,16,Tuesday,6000.0,0
SEO,Chrome,F,30,China,1,1,8,Thursday,1,13,Tuesday,inf,0
Direct,IE,M,28,United Kingdom,1,4,3,Friday,7,28,Tuesday,2444.4444444444443,0
Ads,FireFox,M,32,United States,1,6,12,Friday,6,18,Thursday,inf,0
SEO,IE,M,38,France,7,1,12,Monday,1,27,Tuesday,280000.0,0
Ads,Chrome,F,33,Japan,1,8,4,Tuesday,9,5,Saturday,6000.0,0
Direct,Safari,F,51,United Kingdom,1,7,13,Monday,8,18,Tuesday,8000.0,0
SEO,IE,M,30,France,10,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,Chrome,M,39,Taiwan; Republic of China (ROC),1,8,15,Saturday,11,5,Thursday,10500.0,0
Direct,Chrome,M,23,Unknown Country,1,4,14,Tuesday,6,10,Wednesday,5200.0,0
SEO,FireFox,M,39,United States,1,5,28,Thursday,6,3,Wednesday,23000.0,0
Direct,FireFox,M,27,Germany,1,2,10,Tuesday,4,24,Friday,12166.666666666666,0
Direct,Chrome,F,56,United States,1,5,29,Friday,6,27,Saturday,13500.0,0
Ads,FireFox,M,38,China,1,6,6,Saturday,9,4,Friday,6428.571428571428,0
Ads,Chrome,F,29,United States,1,1,6,Tuesday,2,12,Thursday,3000.0,0
Ads,Safari,M,18,Unknown Country,1,3,5,Thursday,3,26,Thursday,20500.0,0
SEO,IE,M,43,Venezuela,1,1,3,Saturday,2,6,Friday,18000.0,0
SEO,IE,M,20,United States,1,8,10,Monday,8,29,Saturday,9500.0,0
Ads,IE,F,34,Korea Republic of,8,1,7,Wednesday,1,7,Wednesday,inf,1
SEO,Chrome,M,19,United States,1,7,28,Tuesday,9,26,Saturday,2000.0,0
SEO,Chrome,F,27,Belgium,1,7,8,Wednesday,7,9,Thursday,inf,1
Direct,Chrome,M,31,Canada,1,5,19,Tuesday,9,15,Tuesday,1555.5555555555557,0
SEO,FireFox,F,36,United States,1,4,21,Tuesday,6,27,Saturday,10800.0,0
SEO,Chrome,F,25,United States,1,1,29,Thursday,4,16,Thursday,3666.6666666666665,0
Ads,FireFox,M,33,United States,2,2,27,Friday,3,30,Monday,17000.0,0
Direct,Chrome,M,21,United States,1,3,14,Saturday,4,22,Wednesday,12333.333333333334,0
